Gender,Age,Income,SpendingScore,SpendingPower,Cluster,PCA1,PCA2
0,19,15,39,585,0,-1.2217278733256738,-1.3611545876195204
0,21,15,81,1215,0,-0.15806058833028758,-1.7642119696920129
1,20,16,6,96,0,-2.0172651677810123,-1.841959306720381
1,23,16,77,1232,0,-0.19011530596721898,-2.531709798800198
1,31,17,40,680,0,-1.327528589450127,-1.800708240406574
1,22,17,76,1292,0,-0.15828656599257046,-2.5263099255593744
1,35,18,6,108,4,-2.3163683725079807,-1.2524284483185872
1,23,18,94,1692,0,0.3465222205039893,-2.659719683277218
0,64,19,3,57,2,-3.10423788363448,0.7638889244090215
1,30,19,72,1368,0,-0.3722815051688546,-2.134124889849251
0,67,19,14,266,2,-2.867553368592637,0.7507171068540043
1,35,19,99,1881,0,0.26086756786452403,-2.2515025257866426
1,58,20,15,300,4,-2.5416654013586686,-0.4734678210567539
1,24,20,77,1540,0,-0.0653825419700026,-2.3748446565308265
0,37,20,13,260,2,-2.214497782014889,-0.29228322704987353
0,22,20,79,1580,0,-0.04647178341623767,-1.5537571991661057
1,35,21,35,735,4,-1.4526577109034786,-1.4926754794896036
0,20,21,66,1386,0,-0.3305887328106059,-1.4541588461398938
0,52,23,29,667,2,-2.032198003570015,0.1523482218034967
1,35,23,98,2254,0,0.4045548769724451,-2.113319323278783
0,35,24,35,840,2,-1.460077594133705,-0.4965244662164456
0,25,24,73,1752,0,-0.13753481405574478,-1.2605132668799466
1,46,25,5,125,4,-2.476068302346557,-0.6717348573114246
0,31,25,73,1825,0,-0.23449127692264243,-1.0147037284140603
1,54,28,14,392,4,-2.3339976637684408,-0.40242316222646485
0,29,28,82,2296,0,0.1876930783513998,-1.0899324901724408
1,45,28,32,896,4,-1.5924630534943143,-0.9123162795731296
0,35,28,61,1708,0,-0.5780571514209178,-0.6569732306769567
1,40,29,31,899,4,-1.488866908273125,-1.0551092275833942
1,23,29,87,2523,0,0.591490672796336,-2.2414560148149247
0,60,30,4,120,2,-2.8179802883947214,0.8812648480358415
1,21,30,73,2190,0,0.2449615162450722,-2.1398312328581337
0,53,33,4,132,2,-2.616930351970041,0.7036623082345275
0,18,33,92,3036,0,0.9374699256777723,-1.4323746899637841
1,49,33,14,462,4,-2.131604077637721,-0.4548083982886656
1,21,33,81,2673,0,0.6044492761357672,-2.129765883646722
1,42,34,17,578,4,-1.862931856818588,-0.7108360604097781
1,30,34,73,2482,0,0.18838060549135774,-1.6963132259133376
1,36,37,26,962,4,-1.3776982957421238,-0.9365036690715742
1,20,37,75,2775,0,0.5813757643170162,-1.985688050394326
1,65,38,35,1330,4,-1.6986737589108276,0.04706555017368841
0,24,38,92,3496,0,1.0102871480585294,-1.0597668181386477
0,48,39,36,1404,2,-1.3463280885676994,0.3678675214230501
1,31,39,61,2379,0,-0.05621333158096019,-1.39656631103345
1,49,39,28,1092,4,-1.554308157762085,-0.43496715826585
1,24,39,65,2535,0,0.23177381012484546,-1.6864884373488784
1,50,40,55,2200,4,-0.6455889167920172,-0.6272678406660261
1,27,40,47,1880,0,-0.40681719962783214,-1.3793322239420371
1,29,40,42,1680,0,-0.6191939366795315,-1.2601779697699096
1,31,40,42,1680,0,-0.663359928774715,-1.1882152835140762
1,49,42,52,2184,4,-0.6655548201027958,-0.5782357195606507
0,33,42,60,2520,0,-0.11935525063923859,-0.3133243662686377
1,31,43,54,2322,0,-0.1695941795669445,-1.2159780561574438
0,59,43,60,2580,2,-0.6617495208837562,0.6511387569729052
1,50,43,45,1935,4,-0.8997968248926234,-0.4494091375647938
0,47,43,41,1763,2,-1.0525189780912412,0.39442314878040224
1,51,44,50,2200,4,-0.7204524157501448,-0.43129682282873855
0,69,44,46,2024,2,-1.3380799125407385,1.1678441991157291
1,27,46,51,2346,0,-0.09735960070482581,-1.2474391129549918
0,53,46,46,2116,2,-0.9293617079413791,0.6479428222916478
0,70,46,56,2576,2,-0.9509147519491694,1.1697345709382965
0,19,46,55,2530,0,0.13993225759788303,-0.6563248201326566
1,67,47,52,2444,4,-0.9158548799205994,0.21117476545063618
1,54,47,59,2773,4,-0.37904116260405696,-0.3189823817296235
0,63,48,51,2448,2,-0.9149663896973973,1.0193594997468738
0,18,48,59,2832,0,0.36650444985544384,-0.670515928283812
1,43,48,50,2400,4,-0.4283582053234309,-0.6063494610589946
1,68,48,48,2304,4,-1.0523671108660277,0.3108628639575298
0,19,48,59,2832,0,0.34442145380785205,-0.6345345851558954
